Vehicle Tag	;	Date	;	Time In	;	Direction	;	Category	;	Location
53	;	03/08/2016	;	07:00:00	;	Entry	;	Passenger Car	;	Iwo Road
54	;	03/08/2016	;	07:15:00	;	Exit	;	Passenger car	;	Iwo Road
55	;	03/08/2016	;	07:30:00	;	Exit	;	Bus	;	Iwo Road
56	;	03/08/2016	;	07:45:00	;	Exit	;	Bus	;	Iwo Road
57	;	03/08/2016	;	08:00:00	;	Entry	;	Passenger Car	;	Iwo Road
58	;	03/08/2016	;	08:15:00	;	Entry	;	Passenger Car	;	Iwo Road
59	;	03/08/2016	;	08:30:00	;	Exit	;	2-axle Trailer	;	Iwo Road
60	;	03/08/2016	;	08:45:00	;	Exit	;	3-axle Trailer	;	Iwo Road
61	;	03/08/2016	;	12:00:00	;	Entry	;	Bus	;	Iwo Road
62	;	03/08/2016	;	13:15:00	;	Entry	;	Passenger Car	;	Iwo Road
63	;	03/08/2016	;	14:00:00	;	Exit	;	Passenger Car	;	Iwo Road
64	;	03/08/2016	;	14:45:00	;	Exit	;	Bus	;	Iwo Road
65	;	03/08/2016	;	16:00:00	;	Exit	;	Passenger Car	;	Iwo Road
66	;	03/08/2016	;	16:10:00	;	Entry	;	3-axle Trailer	;	Iwo Road
67	;	03/08/2016	;	16:30:00	;	Entry	;	2-axle Trailer	;	Iwo Road
68	;	03/08/2016	;	17:00:00	;	Exit	;	Passenger Car	;	Iwo Road
69	;	03/08/2016	;	17:10:00	;	Exit	;	Bus	;	Iwo Road
70	;	03/08/2016	;	17:45:00	;	Entry	;	Bus	;	Iwo Road
71	;	03/08/2016	;	17:50:00	;	Entry	;	Passenger Car	;	Iwo Road
72	;	03/08/2016	;	18:15:00	;	Entry	;	Passenger Car	;	Iwo Road
73	;	03/08/2016	;	18:30:00	;	Exit	;	Bus	;	Iwo Road
74	;	03/08/2016	;	18:45:00	;	Exit	;	Bus	;	Iwo Road
75	;	03/08/2016	;	19:00:00	;	Exit	;	Passenger Car	;	Iwo Road
76	;	03/08/2016	;	19:30:00	;	Exit	;	Passenger Car	;	Iwo Road
77	;	03/08/2016	;	20:00:00	;	Entry	;	Bus	;	Iwo Road
78	;	03/08/2016	;	20:30:00	;	Entry	;	Bus	;	Iwo Road
79	;	03/08/2016	;	21:00:00	;	Exit	;	3-axle Trailer	;	Iwo Road
80	;	03/08/2016	;	21:15:00	;	Entry	;	2-axle Trailer	;	Iwo Road
81	;	03/08/2016	;	22:30:00	;	Exit	;	Bus	;	Iwo Road
82	;	03/08/2016	;	23:15:00	;	Entry	;	Passenger Car	;	Iwo Road
83	;	03/08/2016	;	23:30:00	;	Exit	;	Passenger Car	;	Iwo Road
84	;	04/08/2016	;	07:00:00	;	Entry	;	Bus	;	Iwo Road
85	;	04/08/2016	;	07:05:00	;	Entry	;	Bus	;	Iwo Road
86	;	04/08/2016	;	07:45:00	;	Exit	;	Passenger Car	;	Iwo Road
87	;	04/08/2016	;	07:50:00	;	Exit	;	Passenger Car	;	Iwo Road
88	;	04/08/2016	;	08:00:00	;	Entry	;	Bus	;	Iwo Road
89	;	04/08/2016	;	08:15:00	;	Entry	;	Bus	;	Iwo Road
90	;	04/08/2016	;	08:30:00	;	Entry	;	2-axle Trailer	;	Iwo Road
91	;	04/08/2016	;	08:45:00	;	Exit	;	3-axle Trailer	;	Iwo Road
92	;	04/08/2016	;	09:00:00	;	Exit	;	3-axle Trailer	;	Iwo Road
93	;	04/08/2016	;	09:45:00	;	Entry	;	2-axle Trailer	;	Iwo Road
94	;	04/08/2016	;	11:00:00	;	Entry	;	2-axle Trailer	;	Iwo Road
95	;	04/08/2016	;	11:15:00	;	Entry 	;	Passenger Car	;	Iwo Road
96	;	04/08/2016	;	12:00:45	;	Exit	;	Bus	;	Iwo Road
97	;	04/08/2016	;	13:15:00	;	Exit	;	Passenger Car	;	Iwo Road
98	;	04/08/2016	;	14:00:30	;	Entry	;	Passenger Car	;	Iwo Road
99	;	04/08/2016	;	14:30:00	;	Entry	;	Bus	;	Iwo Road
100	;	04/08/2016	;	14:45:00	;	Exit	;	Bus	;	Iwo Road
101	;	04/08/2016	;	15:11:10	;	Exit	;	Passenger Car	;	Iwo Road
102	;	04/08/2016	;	15:20:00	;	Entry	;	Passenger Car	;	Iwo Road
103	;	04/08/2016	;	15:22:00	;	Entry	;	Bus 	;	Iwo Road
104	;	04/08/2016	;	15:30:00	;	Entry	;	Bus 	;	Iwo Road
105	;	04/08/2016	;	15:45:00	;	Exit	;	Passenger Car	;	Iwo Road
106	;	04/08/2016	;	16:00:00	;	Exit	;	Passenger Car	;	Iwo Road
107	;	04/08/2016	;	16:05:00	;	Entry	;	Bus	;	Iwo Road
108	;	04/08/2016	;	16:55:00	;	Entry	;	Bus	;	Iwo Road
109	;	04/08/2016	;	17:10:00	;	Entry	;	Passenger Car	;	Iwo Road
110	;	04/08/2016	;	17:45:00	;	Exit	;	Passenger Car	;	Iwo Road
111	;	04/08/2016	;	17:50:00	;	Exit	;	Passenger Car	;	Iwo Road
112	;	04/08/2016	;	18:15:00	;	Entry	;	3-axle Trailer	;	Iwo Road
113	;	04/08/2016	;	18:30:00	;	Entry	;	Passenger Car	;	Iwo Road
114	;	04/08/2016	;	18:45:00	;	Entry	;	Bus	;	Iwo Road
115	;	04/08/2016	;	19:00:00	;	Exit	;	2-axle Trailer	;	Iwo Road
116	;	04/08/2016	;	19:30:00	;	Exit	;	Bus	;	Iwo Road
117	;	04/08/2016	;	20:00:00	;	Entry	;	Bus	;	Iwo Road
118	;	04/08/2016	;	20:30:00	;	Exit	;	Passenger Car	;	Iwo Road
119	;	04/08/2016	;	21:00:00	;	Exit	;	Passenger Car	;	Iwo Road
120	;	04/08/2016	;	21:15:00	;	Entry	;	Bus	;	Iwo Road
121	;	04/08/2016	;	22:30:00	;	Exit	;	Bus	;	Iwo Road
122	;	04/08/2016	;	23:15:00	;	Entry	;	2-axle Trailer	;	Iwo Road
123	;	04/08/2016	;	23:30:00	;	Exit	;	3-axle Trailer	;	Iwo Road
124	;	05/08/2016	;	06:00:00	;	Entry	;	Passenger Car	;	Iwo Road
125	;	05/08/2016	;	06:15:00	;	Exit	;	Passenger Car	;	Iwo Road
126	;	05/08/2016	;	06:30:00	;	Entry	;	Passenger Car	;	Iwo Road
127	;	05/08/2016	;	06:45:00	;	Exit	;	3-axle Trailer	;	Iwo Road
128	;	05/08/2016	;	07:00:00	;	Entry	;	Passenger Car	;	Iwo Road
129	;	05/08/2016	;	07:15:00	;	Exit	;	Bus	;	Iwo Road
130	;	05/08/2016	;	07:30:00	;	Entry	;	3-axle Trailer	;	Iwo Road
131	;	05/08/2016	;	07:45:00	;	Entry	;	2-axle Trailer	;	Iwo Road
132	;	05/08/2016	;	08:00:00	;	Exit	;	Bus	;	Iwo Road
133	;	05/08/2016	;	08:15:00	;	Exit	;	Passenger Car	;	Iwo Road
134	;	05/08/2016	;	08:30:00	;	Entry	;	Passenger Car	;	Iwo Road
135	;	05/08/2016	;	08:45:00	;	Entry	;	Bus	;	Iwo Road
136	;	05/08/2016	;	12:00:00	;	Entry	;	Passenger Car	;	Iwo Road
137	;	05/08/2016	;	12:00:45	;	Exit	;	Passenger Car	;	Iwo Road
138	;	05/08/2016	;	13:15:00	;	Exit	;	Bus	;	Iwo Road
139	;	05/08/2016	;	14:00:30	;	Entry	;	Bus	;	Iwo Road
140	;	05/08/2016	;	14:30:00	;	Entry	;	Passenger Car	;	Iwo Road
141	;	05/08/2016	;	14:45:00	;	Exit	;	3-axle Trailer	;	Iwo Road
142	;	05/08/2016	;	15:11:10	;	Entry	;	2-axle Trailer	;	Iwo Road
143	;	05/08/2016	;	15:20:00	;	Entry	;	Bus	;	Iwo Road
144	;	05/08/2016	;	15:22:00	;	Exit	;	Bus	;	Iwo Road
145	;	05/08/2016	;	15:30:00	;	Entry	;	2-axle Trailer	;	Iwo Road
146	;	05/08/2016	;	15:45:00	;	Exit	;	Bus	;	Iwo Road
147	;	05/08/2016	;	16:00:00	;	Entry	;	Bus	;	Iwo Road
148	;	05/08/2016	;	16:30:00	;	Entry	;	Passenger Car	;	Iwo Road
149	;	05/08/2016	;	17:00:00	;	Entry	;	Passenger Car	;	Iwo Road
150	;	05/08/2016	;	17:10:00	;	Entry	;	Bus	;	Iwo Road
151	;	05/08/2016	;	17:45:00	;	Exit	;	3-axle Trailer	;	Iwo Road
152	;	05/08/2016	;	17:50:00	;	Exit	;	2-axle Trailer	;	Iwo Road
153	;	05/08/2016	;	18:15:00	;	Exit	;	Passenger Car	;	Iwo Road
154	;	05/08/2016	;	18:30:00	;	Entry	;	Bus	;	Iwo Road
155	;	05/08/2016	;	18:45:00	;	Exit	;	3-axle Trailer	;	Iwo Road
156	;	05/08/2016	;	19:00:00	;	Exit	;	2-axle Trailer	;	Iwo Road
157	;	05/08/2016	;	19:30:00	;	Entry	;	Bus	;	Iwo Road
158	;	05/08/2016	;	20:00:00	;	Entry	;	Passenger Car	;	Iwo Road
159	;	05/08/2016	;	22:30:00	;	Exit	;	3-axle Trailer	;	Iwo Road
160	;	05/08/2016	;	23:15:00	;	Entry	;	Passenger Car	;	Iwo Road
161	;	06/08/2016	;	00:15:15	;	Entry 	;	Passenger Car	;	Iwo Road
162	;	06/08/2016	;	00:42:08	;	Entry	;	Passenger Car	;	Iwo Road
163	;	06/08/2016	;	00:45:34	;	Entry 	;	Bus	;	Iwo Road
164	;	06/08/2016	;	00:52:45	;	Exit	;	Bus	;	Iwo Road
165	;	06/08/2016	;	03:05:15	;	Entry	;	Passenger Car	;	Iwo Road
166	;	06/08/2016	;	04:00:00	;	Exit	;	Passenger Car	;	Iwo Road
167	;	06/08/2016	;	05:35:00	;	Entry	;	Passenger Car	;	Iwo Road
168	;	06/08/2016	;	06:00:00	;	Entry 	;	Passenger Car	;	Iwo Road
169	;	06/08/2016	;	06:15:00	;	Exit	;	Bus	;	Iwo Road
170	;	06/08/2016	;	06:30:00	;	Entry	;	Passenger Car	;	Iwo Road
171	;	06/08/2016	;	06:45:00	;	Exit	;	Bus	;	Iwo Road
172	;	06/08/2016	;	07:00:00	;	Exit	;	Passenger Car	;	Iwo Road
173	;	06/08/2016	;	07:15:00	;	Entry	;	Bus	;	Iwo Road
174	;	06/08/2016	;	07:30:00	;	Entry 	;	Bus	;	Iwo Road
175	;	06/08/2016	;	07:45:00	;	Entry 	;	Passenger Car	;	Iwo Road
176	;	06/08/2016	;	08:00:00	;	Entry	;	2-axle Trailer	;	Iwo Road
177	;	06/08/2016	;	08:15:00	;	Entry 	;	2-axle Trailer	;	Iwo Road
178	;	06/08/2016	;	08:30:00	;	Entry 	;	Passenger Car	;	Iwo Road
179	;	06/08/2016	;	08:45:00	;	Exit	;	Bus	;	Iwo Road
180	;	06/08/2016	;	09:00:00	;	Exit	;	Passenger Car 	;	Iwo Road
181	;	06/08/2016	;	09:15:00	;	Entry	;	Bus 	;	Iwo Road
182	;	06/08/2016	;	09:30:00	;	Entry	;	Bus	;	Iwo Road
183	;	06/08/2016	;	09:45:00	;	Exit	;	Passenger Car 	;	Iwo Road
184	;	06/08/2016	;	16:00:00	;	Entry	;	Bus 	;	Iwo Road
185	;	06/08/2016	;	16:15:00	;	Entry	;	Passenger Car	;	Iwo Road
186	;	06/08/2016	;	16:30:00	;	Exit	;	Passenger Car	;	Iwo Road
187	;	06/08/2016	;	16:45:00	;	Entry	;	3-axle Trailer	;	Iwo Road
188	;	06/08/2016	;	17:00:00	;	Entry	;	Bus	;	Iwo Road
189	;	06/08/2016	;	17:15:00	;	Exit	;	Passenger Car	;	Iwo Road
190	;	06/08/2016	;	17:30:00	;	Entry	;	Passenger Car	;	Iwo Road
191	;	06/08/2016	;	17:45:00	;	Exit	;	Bus	;	Iwo Road
192	;	06/08/2016	;	18:00:00	;	Exit	;	Bus	;	Iwo Road
193	;	06/08/2016	;	18:15:00	;	Entry	;	Passenger Car	;	Iwo Road
194	;	06/08/2016	;	18:30:00	;	Entry	;	2-axle Trailer	;	Iwo Road
195	;	06/08/2016	;	18:45:00	;	Entry	;	3-axle Trailer	;	Iwo Road
196	;	06/08/2016	;	19:00:00	;	Entry	;	Passenger Car	;	Iwo Road
197	;	06/08/2016	;	19:15:00	;	Exit	;	Passenger Car	;	Iwo Road
198	;	06/08/2016	;	19:30:00	;	Exit	;	Bus	;	Iwo Road
199	;	06/08/2016	;	19:45:00	;	Exit	;	Passenger Car	;	Iwo Road
200	;	06/08/2016	;	20:00:00	;	Exit 	;	2-axle Trailer	;	Iwo Road
201	;	06/08/2016	;	20:30:00	;	Entry	;	3-axle Trailer	;	Iwo Road
202	;	06/08/2016	;	21:00:00	;	Exit 	;	Bus	;	Iwo Road
203	;	06/08/2016	;	21:15:00	;	Entry	;	Bus	;	Iwo Road
204	;	06/08/2016	;	22:30:00	;	Entry 	;	Passenger Car	;	Iwo Road
205	;	06/08/2016	;	23:15:00	;	Exit	;	3-axle Trailer	;	Iwo Road
206	;	06/08/2016	;	23:30:00	;	Entry	;	2-axle Trailer	;	Iwo Road
207	;	07/08/2016	;	03:10:00	;	Exit	;	Bus	;	Iwo Road
208	;	07/08/2016	;	03:25:10	;	Exit	;	Bus	;	Iwo Road
209	;	07/08/2016	;	03:12:58	;	Exit	;	2-axle Trailer	;	Iwo Road
210	;	07/08/2016	;	04:10:15	;	Exit	;	Bus	;	Iwo Road
211	;	07/08/2016	;	05:09:36	;	Entry	;	Passenger Car	;	Iwo Road
212	;	07/08/2016	;	06:00:00	;	Entry	;	Passenger Car	;	Iwo Road
213	;	07/08/2016	;	08:15:00	;	Entry	;	Bus	;	Iwo Road
214	;	07/08/2016	;	09:00:00	;	Entry	;	Bus	;	Iwo Road
215	;	07/08/2016	;	09:15:00	;	Entry	;	Passenger Car	;	Iwo Road
216	;	07/08/2016	;	09:30:00	;	Entry	;	2-axle Trailer	;	Iwo Road
217	;	07/08/2016	;	09:45:00	;	Entry	;	3-axle Trailer	;	Iwo Road
218	;	07/08/2016	;	11:15:00	;	Entry	;	Passenger Car	;	Iwo Road
219	;	07/08/2016	;	12:00:00	;	Exit	;	Passenger Car	;	Iwo Road
220	;	07/08/2016	;	14:15:00	;	Entry	;	2-axle Trailer	;	Iwo Road
221	;	07/08/2016	;	14:30:00	;	Entry	;	3-axle Trailer	;	Iwo Road
222	;	07/08/2016	;	15:34:12	;	Entry	;	Bus 	;	Iwo Road
223	;	07/08/2016	;	16:54:11	;	Exit	;	Passenger Car	;	Iwo Road
224	;	07/08/2016	;	16:57:13	;	Entry	;	Bus 	;	Iwo Road
225	;	07/08/2016	;	16:59:00	;	Entry	;	Passenger Car	;	Iwo Road
226	;	07/08/2016	;	17:15:00	;	Exit	;	3-axle Trailer	;	Iwo Road
227	;	07/08/2016	;	17:30:00	;	Entry	;	Bus	;	Iwo Road
228	;	07/08/2016	;	17:45:00	;	Exit	;	Bus	;	Iwo Road
229	;	07/08/2016	;	18:00:00	;	Exit	;	Bus	;	Iwo Road
230	;	07/08/2016	;	18:15:00	;	Entry	;	Bus	;	Iwo Road
231	;	07/08/2016	;	19:00:00	;	Entry	;	Passenger Car	;	Iwo Road
232	;	07/08/2016	;	19:15:00	;	Entry	;	Passenger Car	;	Iwo Road
233	;	07/08/2016	;	19:30:00	;	Entry	;	2-axle Trailer	;	Iwo Road
234	;	07/08/2016	;	19:45:00	;	Entry	;	Passenger Car	;	Iwo Road
235	;	07/08/2016	;	19:48:12	;	Exit	;	Passenger Car	;	Iwo Road
236	;	07/08/2016	;	19:55:45	;	Exit	;	Bus	;	Iwo Road
237	;	07/08/2016	;	19:57:00	;	Entry	;	Bus	;	Iwo Road
238	;	07/08/2016	;	20:10:15	;	Entry	;	Passenger Car	;	Iwo Road
239	;	07/08/2016	;	20:12:23	;	Exit	;	Passenger Car	;	Iwo Road
240	;	07/08/2016	;	22:14:19	;	Exit	;	Passenger Car	;	Iwo Road
241	;	07/08/2016	;	22:22:22	;	Exit	;	Bus	;	Iwo Road
242	;	07/08/2016	;	22:30:00	;	Exit	;	Bus 	;	Iwo Road
243	;	07/08/2016	;	23:15:00	;	Exit	;	Passenger Car	;	Iwo Road
244	;	07/08/2016	;	23:30:00	;	Exit	;	Passenger Car	;	Iwo Road
245	;	07/08/2016	;	23:58:59	;	Entry	;	Bus 	;	Iwo Road
246	;	07/08/2016	;	23:59:59	;	Exit	;	Passenger Car	;	Iwo Road
247	;	08/08/2016	;	04:45:00	;	Entry	;	Passenger Car	;	Iwo Road
248	;	08/08/2016	;	05:20:12	;	Entry	;	Bus	;	Iwo Road
249	;	08/08/2016	;	06:00:00	;	Exit	;	2-axle Trailer	;	Iwo Road
250	;	08/08/2016	;	06:15:00	;	Exit	;	2-axle Trailer	;	Iwo Road
251	;	08/08/2016	;	06:30:00	;	Entry	;	Passenger Car	;	Iwo Road
252	;	08/08/2016	;	06:45:00	;	Entry	;	Passenger Car	;	Iwo Road
253	;	08/08/2016	;	07:00:00	;	Exit	;	Bus	;	Iwo Road
254	;	08/08/2016	;	07:15:00	;	Exit	;	3-axle Trailer	;	Iwo Road
255	;	08/08/2016	;	07:30:00	;	Entry	;	2-axle Trailer	;	Iwo Road
256	;	08/08/2016	;	07:45:00	;	Exit	;	Passenger Car	;	Iwo Road
257	;	08/08/2016	;	08:00:00	;	Entry	;	Passenger Car	;	Iwo Road
258	;	08/08/2016	;	08:15:00	;	Entry	;	Bus	;	Iwo Road
259	;	08/08/2016	;	08:30:00	;	Exit	;	Passenger Car	;	Iwo Road
260	;	08/08/2016	;	08:45:00	;	Entry	;	Bus	;	Iwo Road
261	;	08/08/2016	;	09:00:00	;	Entry	;	Bus 	;	Iwo Road
262	;	08/08/2016	;	09:15:00	;	Exit	;	Bus	;	Iwo Road
263	;	08/08/2016	;	09:30:00	;	Entry	;	Passenger Car	;	Iwo Road
264	;	08/08/2016	;	09:45:00	;	Entry	;	Passenger Car	;	Iwo Road
265	;	08/08/2016	;	10:15:00	;	Entry	;	Passenger Car	;	Iwo Road
266	;	08/08/2016	;	10:30:00	;	Entry	;	Bus	;	Iwo Road
267	;	08/08/2016	;	10:45:00	;	Entry	;	Passenger Car	;	Iwo Road
268	;	08/08/2016	;	11:00:00	;	Entry	;	2-axle Trailer	;	Iwo Road
269	;	08/08/2016	;	11:15:00	;	Exit	;	2-axle Trailer	;	Iwo Road
270	;	08/08/2016	;	11:30:00	;	Exit	;	Bus	;	Iwo Road
271	;	08/08/2016	;	11:45:00	;	Entry	;	Passenger Car	;	Iwo Road
272	;	08/08/2016	;	12:00:00	;	Entry	;	Passenger Car	;	Iwo Road
273	;	08/08/2016	;	12:15:00	;	Exit	;	Bus	;	Iwo Road
274	;	08/08/2016	;	12:30:00	;	Exit	;	Bus	;	Iwo Road
275	;	08/08/2016	;	12:45:00	;	Entry	;	Bus	;	Iwo Road
276	;	08/08/2016	;	13:00:00	;	Entry	;	Passenger Car	;	Iwo Road
277	;	08/08/2016	;	13:15:00	;	Exit	;	3-axle Trailer	;	Iwo Road
278	;	08/08/2016	;	13:30:00	;	Exit	;	2-axle Trailer	;	Iwo Road
279	;	08/08/2016	;	13:45:00	;	Entry	;	Bus	;	Iwo Road
280	;	08/08/2016	;	14:00:00	;	Entry	;	Bus	;	Iwo Road
281	;	08/08/2016	;	14:15:00	;	Exit	;	3-axle Trailer	;	Iwo Road
282	;	08/08/2016	;	14:30:00	;	Exit	;	2-axle Trailer	;	Iwo Road
283	;	08/08/2016	;	14:45:00	;	Entry	;	2-axle Trailer	;	Iwo Road
284	;	08/08/2016	;	15:00:00	;	Entry	;	Passenger Car	;	Iwo Road
285	;	08/08/2016	;	15:15:00	;	Exit	;	Passenger Car	;	Iwo Road
286	;	08/08/2016	;	15:30:00	;	Exit	;	Bus	;	Iwo Road
287	;	08/08/2016	;	15:45:00	;	Entry	;	Bus	;	Iwo Road
288	;	08/08/2016	;	16:00:00	;	Entry	;	2-axle Trailer	;	Iwo Road
289	;	08/08/2016	;	16:15:00	;	Entry	;	3-axle Trailer	;	Iwo Road
290	;	08/08/2016	;	16:30:00	;	Exit	;	Passenger Car	;	Iwo Road
291	;	08/08/2016	;	16:45:00	;	Exit	;	Passenger Car	;	Iwo Road
292	;	08/08/2016	;	17:00:00	;	Entry	;	2-axle Trailer	;	Iwo Road
293	;	08/08/2016	;	17:15:00	;	Entry	;	Bus	;	Iwo Road
294	;	08/08/2016	;	17:30:00	;	Exit	;	Bus	;	Iwo Road
295	;	08/08/2016	;	17:45:00	;	Exit	;	Passenger Car	;	Iwo Road
296	;	08/08/2016	;	18:00:00	;	Entry	;	Passenger Car	;	Iwo Road
297	;	08/08/2016	;	18:15:00	;	Entry	;	Bus	;	Iwo Road
298	;	08/08/2016	;	18:30:00	;	Entry	;	Bus 	;	Iwo Road
299	;	08/08/2016	;	18:45:00	;	Exit	;	2-axle Trailer 	;	Iwo Road
300	;	08/08/2016	;	19:00:00	;	Exit	;	Passenger Car	;	Iwo Road
301	;	08/08/2016	;	19:15:00	;	Entry	;	Passenger Car	;	Iwo Road
302	;	08/08/2016	;	19:30:00	;	Exit	;	Passenger Car	;	Iwo Road
303	;	08/08/2016	;	19:45:00	;	Exit	;	3-axle Trailer	;	Iwo Road
304	;	08/08/2016	;	20:00:00	;	Entry	;	3-axle Trailer	;	Iwo Road
305	;	08/08/2016	;	20:15:00	;	Entry	;	3-axle Trailer	;	Iwo Road
306	;	08/08/2016	;	20:30:00	;	Exit	;	2-axle Trailer	;	Iwo Road
307	;	08/08/2016	;	20:45:00	;	Exit	;	Bus	;	Iwo Road
308	;	08/08/2016	;	21:00:00	;	Exit	;	Bus	;	Iwo Road
309	;	08/08/2016	;	21:15:00	;	Exit	;	2-axle Trailer	;	Iwo Road
310	;	08/08/2016	;	21:30:00	;	Exit	;	Passenger Car	;	Iwo Road
311	;	08/08/2016	;	21:45:00	;	Exit	;	Passenger Car	;	Iwo Road
312	;	08/08/2016	;	22:00:00	;	Entry	;	Passenger Car	;	Iwo Road
313	;	08/08/2016	;	22:15:00	;	Exit	;	Passenger Car	;	Iwo Road
314	;	08/08/2016	;	22:30:00	;	Exit	;	Passenger Car	;	Iwo Road
315	;	08/08/2016	;	22:45:00	;	Entry	;	Bus	;	Iwo Road
316	;	08/08/2016	;	23:00:00	;	Entry	;	Bus	;	Iwo Road
317	;	08/08/2016	;	23:15:00	;	Exit	;	Passenger Car	;	Iwo Road
318	;	08/08/2016	;	23:30:00	;	Entry	;	Passenger Car	;	Iwo Road
319	;	08/08/2016	;	23:45:00	;	Entry	;	Passenger Car	;	Iwo Road
320	;	09/08/2016	;	00:00:00	;	Exit	;	Passenger Car	;	Iwo Road
321	;	09/08/2016	;	01:15:12	;	Entry	;	Passenger Car	;	Iwo Road
322	;	09/08/2016	;	01:34:54	;	Entry 	;	Passenger Car	;	Iwo Road
323	;	09/08/2016	;	01:43:23	;	Entry 	;	Passenger Car	;	Iwo Road
324	;	09/08/2016	;	01:56:11	;	Entry	;	Bus 	;	Iwo Road
325	;	09/08/2016	;	01:57:21	;	Exit 	;	Passenger Car	;	Iwo Road
326	;	09/08/2016	;	04:30:00	;	Entry 	;	Bus	;	Iwo Road
327	;	09/08/2016	;	04:45:00	;	Entry	;	Bus	;	Iwo Road
